Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Course,Fathers_occupation,Previous_qualification_grade,Curricular_units_1st_sem_grade,Admission_grade,Target
4,11.25,9254,9,130.0,12.2,133.9,Graduate
6,12.83333333,9773,3,135.0,12.66666667,124.9,Graduate
8,14.07125,9500,9,133.0,14.07125,128.5,Graduate
5,13.2,9085,9,122.0,14.25,126.2,Dropout
0,0.0,9130,9,122.0,0.0,121.7,Dropout
4,10.25,9853,5,121.0,12.0,120.0,Enrolled
7,10.57142857,9147,9,123.0,11.16666667,113.2,Enrolled
5,11.6,9238,5,128.0,13.0,120.3,Graduate
0,0.0,171,9,139.0,0.0,127.8,Dropout
7,14.90142857,9500,0,124.0,14.90142857,123.3,Dropout
8,12.44555556,9500,8,135.0,12.65,126.3,Graduate
5,10.6,9991,9,110.0,11.0,128.2,Dropout
5,12.66666667,9085,7,138.0,12.4,134.9,Graduate
6,12.66666667,9003,6,140.0,12.0,140.0,Graduate
7,13.32857143,9500,7,126.0,12.13571429,115.5,Graduate
6,12.5,9500,7,113.0,12.62,106.7,Enrolled
3,11.33333333,9991,3,120.0,10.66666667,140.0,Enrolled
7,14.05142857,9500,7,145.0,13.76666667,136.6,Graduate
8,13.11625,9500,7,124.0,13.11625,119.3,Graduate
0,0.0,9070,9,160.0,0.0,152.0,Dropout
7,13.57142857,9500,5,138.0,12.7,144.3,Graduate
5,11.7,9556,9,130.0,11.85714286,159.0,Enrolled
6,12.33333333,9500,9,127.0,12.33333333,129.5,Graduate
5,16.4,9238,9,170.0,15.75,140.0,Enrolled
5,13.2,9670,5,111.0,13.33333333,105.4,Graduate
8,13.49375,9500,8,100.0,14.35555556,136.0,Graduate
5,13.0,9003,9,160.0,13.0,160.0,Graduate
6,13.5,9773,9,152.0,12.83333333,139.1,Graduate
4,13.0,9670,9,144.0,13.2,126.9,Graduate
8,16.58222222,9500,10,133.8,17.00555556,184.0,Graduate
5,11.0,9238,9,125.0,10.6,125.0,Graduate
5,13.6,9147,6,150.0,14.0,138.5,Graduate
7,12.11428571,9500,8,143.0,12.11428571,133.5,Graduate
8,13.05875,9500,7,145.0,13.05875,141.5,Graduate
7,13.28571429,9500,3,120.0,13.28571429,130.0,Graduate
3,10.66666667,9147,171,138.0,11.0,131.0,Enrolled
8,15.1625,9500,5,145.0,14.07142857,145.0,Graduate
0,0.0,9254,6,122.0,0.0,114.3,Dropout
3,11.0,171,6,110.0,11.25,108.3,Dropout
6,13.625,9070,9,136.0,14.0,125.2,Graduate
3,11.66666667,9254,9,145.0,12.16666667,131.7,Dropout
7,13.29714286,9500,3,141.0,13.29714286,126.3,Graduate
6,14.25,9085,6,149.0,13.92307692,147.6,Graduate
7,12.83333333,9500,6,130.0,13.37,125.1,Graduate
3,11.0,9147,9,121.0,12.4,123.8,Enrolled
4,13.75,9670,2,128.0,15.0,130.8,Dropout
6,12.57142857,9853,5,152.0,13.33333333,154.1,Graduate
4,12.625,9147,9,132.0,12.0,122.6,Enrolled
5,12.2,8014,0,107.0,13.4,103.5,Graduate
0,0.0,171,5,131.0,0.0,132.8,Enrolled
5,11.4,9991,7,141.0,11.5,100.0,Graduate
6,12.16666667,9853,0,120.0,12.0,115.8,Enrolled
7,13.48571429,9500,4,148.0,13.48571429,133.8,Graduate
6,11.28571429,9070,5,130.0,12.0,118.5,Graduate
0,0.0,171,1,145.0,0.0,150.3,Dropout
3,14.42857143,9147,5,112.0,10.33333333,107.8,Enrolled
5,13.76,9500,4,138.0,12.94,127.5,Enrolled
7,13.25857143,9500,7,135.0,13.25857143,120.5,Graduate
4,12.0,9147,10,118.0,12.25,117.3,Enrolled
1,10.0,9254,7,123.0,11.66666667,120.6,Dropout
6,12.5,9254,7,126.0,13.57142857,118.7,Graduate
5,11.83333333,9773,7,150.0,11.8,130.8,Graduate
5,13.28571429,9147,9,121.0,14.2,112.6,Graduate
5,11.8,9991,9,133.1,11.0,117.2,Graduate
7,12.6375,9500,3,130.0,13.625,130.0,Enrolled
7,14.65285714,9500,5,139.0,14.65285714,131.8,Graduate
6,11.33333333,8014,4,160.0,11.33333333,97.0,Graduate
0,0.0,9500,9,110.0,13.7,130.0,Dropout
8,14.75,8014,9,140.0,13.72727273,148.0,Graduate
7,11.14285714,9147,9,130.0,11.75,103.4,Dropout
5,13.0,9773,0,132.0,12.33333333,127.1,Graduate
6,13.85714286,9773,7,139.0,14.0,124.0,Dropout
4,11.75,9670,7,135.0,11.5,121.4,Graduate
5,13.2,9147,7,117.0,11.2,118.1,Graduate
7,15.07,9500,3,137.0,15.07,121.3,Graduate
1,12.0,9119,0,144.0,10.0,119.5,Dropout
5,12.66666667,9991,10,130.0,12.0,115.2,Enrolled
4,12.6,9670,9,140.0,13.0,130.2,Graduate
3,11.25,9254,5,130.0,11.0,130.0,Dropout
5,12.16666667,9238,6,130.0,13.57142857,126.9,Graduate
5,14.2,9070,1,152.0,14.6,168.5,Graduate
2,10.0,9500,9,133.1,11.83333333,130.0,Dropout
8,12.5125,9556,9,140.0,12.625,122.8,Graduate
3,12.33333333,9500,9,133.1,11.5,110.0,Dropout
4,10.5,9085,9,140.0,13.25,127.1,Graduate
6,11.9,9500,5,133.1,12.60625,108.5,Graduate
5,13.2,9085,9,140.0,13.75,138.2,Dropout
6,11.93333333,9500,192,133.1,13.59833333,96.0,Enrolled
6,12.28571429,9238,9,135.0,11.14285714,124.5,Graduate
10,12.96818182,9500,7,120.0,12.7,120.0,Enrolled
1,11.0,9147,7,140.0,10.0,132.3,Dropout
4,11.5,9254,7,128.0,11.66666667,120.7,Graduate
6,13.14285714,9670,4,141.0,14.0,132.6,Graduate
0,0.0,9130,0,140.0,0.0,140.0,Dropout
7,12.04142857,9500,4,139.0,12.04142857,124.5,Graduate
0,0.0,171,7,142.0,0.0,142.0,Graduate
12,14.58333333,9254,6,130.0,13.76923077,130.0,Graduate
13,15.30769231,9003,9,130.0,15.44444444,144.0,Graduate
7,12.71428571,9853,7,125.0,11.5,128.5,Enrolled
0,0.0,9070,3,140.0,10.0,140.0,Dropout
3,10.33333333,9853,5,120.0,12.25,113.9,Dropout
6,15.16666667,9238,4,147.0,14.5,137.2,Graduate
6,16.375,9085,5,140.0,15.57142857,140.0,Graduate
6,14.71428571,9130,4,161.0,15.57142857,152.3,Graduate
6,12.16666667,8014,8,133.1,13.8,112.5,Graduate
2,14.8,9147,7,150.0,10.66666667,101.0,Dropout
4,11.75,9238,163,113.0,11.6,112.3,Graduate
0,0.0,9238,0,140.0,13.0,114.0,Dropout
4,13.625,9147,9,130.0,12.0,130.0,Graduate
12,12.33333333,9500,0,120.0,12.33333333,121.5,Graduate
6,12.9,9003,10,133.1,12.875,120.0,Enrolled
0,0.0,8014,5,130.0,11.0,130.0,Dropout
4,10.5,9003,9,120.0,12.25,125.7,Dropout
0,0.0,9556,9,140.0,0.0,128.0,Dropout
5,11.5,9238,9,123.0,10.75,113.2,Enrolled
8,13.63,9500,4,133.1,13.63,120.0,Graduate
4,11.5,9670,0,130.0,13.0,117.8,Graduate
7,12.22857143,9500,9,126.0,13.53333333,121.3,Enrolled
8,16.37777778,9500,7,176.0,16.9,169.7,Graduate
4,12.0,9238,8,124.0,12.0,117.7,Graduate
6,13.28571429,8014,6,120.0,12.5,121.8,Graduate
7,12.76428571,9500,10,140.0,12.76428571,128.3,Graduate
5,12.16666667,9147,7,143.0,13.75,132.2,Graduate
0,0.0,171,4,136.0,0.0,134.3,Dropout
8,15.68333333,9500,5,132.0,14.60428571,123.4,Graduate
0,0.0,9991,3,133.1,0.0,121.7,Dropout
6,12.5,8014,5,100.0,13.83333333,130.0,Graduate
8,13.57625,9500,7,137.0,13.57625,126.5,Graduate
6,15.83333333,9238,7,153.0,15.14285714,159.7,Graduate
5,11.6,9147,3,160.0,10.66666667,151.3,Graduate
6,12.0,9238,7,145.0,11.2,138.0,Graduate
8,13.76375,9500,8,137.0,13.76375,126.5,Graduate
5,12.2,9085,3,140.0,13.25,140.0,Enrolled
5,12.2,9238,6,120.0,10.71428571,112.3,Graduate
6,11.66666667,9238,4,122.0,12.16666667,127.3,Graduate
6,14.35714286,9500,10,130.0,14.35714286,130.0,Graduate
6,12.66666667,9773,5,133.1,12.83333333,115.0,Graduate
7,13.92571429,9500,1,150.0,13.92571429,131.5,Graduate
3,11.0,9991,4,133.1,12.0,125.7,Dropout
8,13.74444444,9500,3,141.0,13.44285714,126.8,Graduate
0,0.0,9119,7,146.0,16.0,132.4,Dropout
6,13.2,9003,9,150.0,13.125,150.0,Graduate
0,0.0,9670,4,133.1,0.0,95.0,Dropout
4,11.0,9991,9,120.0,11.4,128.2,Dropout
3,11.66666667,9130,4,150.0,11.0,130.0,Dropout
1,10.0,9119,5,133.1,11.0,100.0,Enrolled
5,13.0,9085,1,140.0,13.66666667,159.9,Graduate
1,10.0,9991,9,140.0,11.75,100.0,Dropout
1,13.0,9853,5,133.1,10.0,116.5,Dropout
6,12.83333333,9238,9,128.0,13.5,120.0,Graduate
0,0.0,9238,9,117.0,0.0,117.0,Dropout
1,11.0,9670,6,140.0,12.0,140.0,Enrolled
5,11.8,9853,3,124.0,13.0,118.1,Dropout
6,16.0,9254,8,158.0,14.83333333,153.5,Graduate
6,12.85714286,9773,5,137.0,11.83333333,127.9,Graduate
5,12.33333333,9670,8,123.0,12.0,118.8,Graduate
6,11.33333333,9238,8,126.0,12.75,126.7,Graduate
4,14.75,9085,1,170.0,0.0,170.0,Enrolled
1,10.0,9130,5,133.1,0.0,110.0,Dropout
6,12.85714286,9238,5,115.0,12.0,115.0,Graduate
8,13.8,9556,7,132.0,11.67777778,119.0,Graduate
7,13.6,9500,7,132.0,13.6,121.8,Graduate
6,15.875,9085,9,143.0,16.0,133.4,Graduate
6,11.5,9238,3,137.0,11.8,131.4,Graduate
2,14.0,9119,3,130.0,0.0,135.0,Dropout
0,0.0,9773,9,121.0,0.0,122.8,Dropout
6,16.2,9853,3,130.0,16.14285714,140.0,Graduate
7,11.78571429,9500,5,135.0,11.78571429,125.3,Graduate
8,13.42375,9500,5,137.0,13.42375,126.3,Graduate
5,14.16666667,9670,10,100.0,12.5,100.0,Graduate
7,12.46428571,9500,7,127.0,12.46428571,121.3,Graduate
5,12.6,9991,193,140.0,12.375,135.0,Enrolled
0,0.0,9670,6,140.0,10.0,120.0,Dropout
6,12.42857143,9773,10,121.0,12.6,113.7,Enrolled
4,12.4,9147,9,131.0,12.6,129.7,Graduate
4,12.0,9147,8,151.0,10.0,132.1,Dropout
0,0.0,9853,8,130.0,0.0,120.3,Dropout
5,12.33333333,9991,7,120.0,11.6,120.0,Graduate
6,13.5,9254,7,136.0,12.16666667,123.1,Graduate
5,12.66666667,9670,7,125.0,13.6,119.4,Graduate
5,11.8,9147,9,133.1,12.5,140.0,Dropout
4,11.5,8014,5,133.1,12.25,116.5,Enrolled
6,12.625,9238,9,120.0,11.71428571,113.0,Graduate
6,13.0,9773,9,143.0,13.5,133.9,Graduate
7,13.02428571,9500,9,133.1,13.02428571,115.5,Graduate
0,0.0,9254,7,121.0,0.0,116.5,Dropout
5,18.57142857,9119,4,168.0,17.33333333,171.2,Graduate
4,11.5,9670,7,124.0,11.0,119.1,Graduate
6,12.5,9853,3,127.0,13.66666667,121.1,Dropout
5,13.8,9070,9,129.0,11.375,132.9,Enrolled
6,11.83333333,9238,9,137.0,12.83333333,132.8,Graduate
4,11.5,9773,0,120.0,12.6,126.7,Graduate
7,13.77142857,9500,7,110.0,14.33333333,105.8,Graduate
6,13.625,9119,8,120.0,13.5,117.2,Enrolled
7,14.28571429,9500,9,143.0,14.28571429,140.0,Graduate
2,10.0,9003,7,120.0,11.75,120.0,Dropout
5,17.6,9119,9,124.0,14.8,119.5,Graduate
0,0.0,9003,3,168.0,0.0,153.9,Dropout
0,0.0,8014,4,133.1,10.0,130.0,Dropout
0,0.0,9670,0,150.0,0.0,107.0,Dropout
5,12.38,9500,6,140.0,12.6,132.8,Dropout
5,11.8,9991,9,145.0,12.42857143,127.5,Graduate
3,12.0,9254,5,118.0,10.0,123.3,Enrolled
0,0.0,9147,4,123.0,12.33333333,122.0,Dropout
0,0.0,9254,9,120.0,0.0,114.8,Dropout
0,0.0,171,2,140.0,0.0,140.0,Graduate
8,13.33333333,9670,10,126.0,12.1,111.0,Graduate
6,15.0,9773,7,137.0,14.71428571,133.2,Graduate
6,12.83333333,9773,9,130.0,12.66666667,123.0,Graduate
10,13.3,9003,8,150.0,14.38461538,150.0,Graduate
5,12.2,9147,7,147.0,13.4,132.3,Graduate
7,13.31428571,9500,7,140.0,13.31428571,126.0,Graduate
7,11.98857143,9500,9,132.0,11.98857143,119.3,Graduate
8,12.88888889,9147,172,130.0,11.54545455,133.8,Graduate
6,13.875,9085,6,130.0,16.46153846,126.5,Graduate
6,12.83333333,9773,5,151.0,13.66666667,138.4,Graduate
8,13.41111111,9500,3,144.0,12.65,129.0,Dropout
3,12.0,9670,7,127.0,12.33333333,118.3,Enrolled
7,14.65,9500,7,131.0,14.37,129.8,Graduate
4,11.75,9085,9,123.0,12.0,113.6,Enrolled
3,10.66666667,9773,8,130.0,12.0,128.3,Dropout
3,11.0,9254,7,130.0,12.0,130.0,Dropout
5,11.2,9853,8,131.0,12.6,121.9,Graduate
6,12.33333333,9238,3,135.0,12.16666667,129.4,Graduate
6,14.0,9853,103,123.0,13.5,115.3,Enrolled
8,13.76375,9500,9,145.0,13.76375,125.5,Graduate
6,12.8,9556,5,118.0,12.4,117.8,Graduate
2,12.0,9147,10,125.0,10.66666667,118.7,Enrolled
6,14.33333333,9500,9,152.0,14.33333333,139.0,Graduate
2,12.66666667,9085,9,101.0,12.5,98.9,Enrolled
0,0.0,9254,7,137.0,10.0,137.7,Dropout
8,14.62222222,9500,3,123.0,14.69625,113.6,Graduate
3,13.75,9085,9,120.0,11.5,113.4,Enrolled
8,13.9125,9556,7,131.0,12.85555556,128.5,Graduate
8,13.99444444,9500,10,141.0,13.7,142.8,Graduate
1,12.0,9130,3,144.0,0.0,137.7,Dropout
4,12.0,9238,7,107.0,11.2,103.5,Enrolled
8,13.33333333,9500,5,133.0,13.28571429,123.2,Graduate
5,10.4,9853,10,126.0,13.0,126.0,Enrolled
6,11.68571429,9500,7,133.1,12.6,121.7,Enrolled
4,12.0,9147,6,147.0,12.8,142.8,Enrolled
5,11.0,9130,9,120.0,11.5,120.0,Dropout
7,11.4,9500,8,130.0,11.4,119.3,Graduate
6,11.33333333,9238,9,120.0,12.33333333,121.0,Graduate
4,12.2,9773,9,138.0,12.8,139.4,Graduate
4,15.0,9085,7,124.0,12.0,113.9,Graduate
5,13.5,9853,7,133.0,13.0,124.6,Graduate
6,11.0,9070,8,122.0,11.83333333,123.8,Dropout
6,13.33333333,9085,4,138.0,14.0,126.3,Graduate
6,13.5,9773,3,134.0,12.33333333,120.4,Graduate
7,12.5,9500,7,128.0,13.04,120.5,Enrolled
8,13.33333333,9085,9,140.0,13.16666667,144.9,Enrolled
6,12.83333333,9085,9,133.1,12.5,139.9,Graduate
0,0.0,171,3,142.0,0.0,133.3,Graduate
7,15.65714286,9500,9,141.0,15.65714286,126.0,Graduate
6,11.33333333,9070,3,145.0,12.16666667,133.5,Graduate
0,0.0,9853,9,145.0,0.0,127.9,Dropout
5,11.16666667,9238,8,108.0,10.6,105.9,Enrolled
5,12.66666667,9085,5,132.0,13.42857143,124.3,Enrolled
0,0.0,9773,0,140.0,11.75,102.5,Dropout
0,0.0,9254,5,133.1,0.0,97.0,Dropout
0,0.0,171,10,128.0,0.0,134.7,Dropout
0,0.0,9119,9,120.0,0.0,113.8,Dropout
0,0.0,9119,152,120.0,13.0,116.9,Dropout
7,13.33142857,9500,9,139.0,13.33142857,124.0,Graduate
0,0.0,9070,5,139.3,0.0,117.5,Dropout
0,0.0,171,9,150.0,0.0,154.8,Graduate
6,13.7,9500,9,138.0,13.7,141.0,Graduate
0,0.0,9670,3,133.1,0.0,120.0,Dropout
6,13.875,9119,5,136.0,13.45454545,133.6,Dropout
7,12.2,9500,9,134.0,12.2,122.0,Graduate
4,11.0,9147,3,140.0,10.0,120.0,Dropout
6,12.85714286,9670,9,110.0,13.0,114.2,Graduate
6,14.0,8014,8,133.1,12.0,95.5,Graduate
7,15.02857143,9500,9,129.0,15.02857143,120.0,Graduate
6,11.71428571,9238,9,116.0,12.0,111.1,Graduate
5,12.4,9773,5,130.0,12.0,128.6,Graduate
3,11.33333333,9556,8,130.0,13.66666667,130.0,Dropout
0,0.0,171,1,116.0,0.0,111.1,Dropout
4,12.5,9147,3,136.0,12.0,122.7,Enrolled
0,0.0,171,7,147.0,0.0,134.4,Graduate
0,0.0,9070,5,117.0,14.0,131.0,Dropout
0,0.0,9238,9,141.0,0.0,125.0,Dropout
5,12.58333333,9556,8,133.1,12.375,106.0,Graduate
0,0.0,9500,9,133.1,0.0,128.0,Dropout
13,11.07692308,9003,1,120.0,11.42105263,120.0,Graduate
6,13.35,9500,8,148.0,13.35,134.8,Graduate
2,16.0,9070,3,130.0,15.0,112.0,Graduate
0,0.0,9130,9,120.0,10.5,116.1,Dropout
0,0.0,9130,2,120.0,0.0,120.0,Dropout
5,11.83333333,9147,5,133.0,13.25,119.7,Graduate
0,0.0,9119,90,129.0,0.0,117.1,Dropout
3,10.6,9085,3,118.0,11.5,112.4,Enrolled
8,13.88125,9500,7,140.0,13.88125,131.0,Graduate
5,12.6,9254,10,127.0,11.33333333,130.9,Graduate
0,0.0,171,9,131.0,0.0,134.9,Dropout
6,13.66666667,9238,9,132.0,12.85714286,127.1,Graduate
6,12.5,9773,175,113.0,11.6,110.2,Graduate
6,11.33333333,9254,3,115.0,11.4,108.7,Graduate
6,13.0,9130,9,133.1,13.33333333,138.0,Enrolled
9,13.77777778,9070,9,150.0,13.57142857,147.7,Graduate
7,12.22857143,9556,9,133.1,11.83333333,123.0,Graduate
7,14.14285714,9853,8,141.0,14.42857143,142.8,Graduate
0,0.0,171,3,140.0,0.0,138.3,Enrolled
5,12.4,9254,7,136.0,12.28571429,125.2,Graduate
5,13.8,9085,90,140.0,14.4,141.8,Graduate
8,15.06875,9500,7,143.0,13.15,130.6,Graduate
0,0.0,9147,8,130.0,0.0,130.0,Dropout
0,0.0,9119,8,133.1,0.0,100.0,Dropout
7,12.34285714,9500,5,129.0,12.34285714,119.0,Graduate
5,10.8,9773,9,132.0,12.2,124.3,Enrolled
1,11.0,9254,0,118.0,10.5,122.2,Dropout
5,11.6,9147,1,150.0,10.6,150.0,Graduate
0,0.0,8014,5,133.1,0.0,135.5,Dropout
6,12.0,9238,7,122.0,11.25,127.3,Graduate
10,11.7,9670,9,127.0,10.5,127.0,Graduate
3,11.66666667,9773,9,122.0,11.0,126.9,Enrolled
8,14.5125,9500,7,131.0,13.45714286,127.5,Graduate
4,12.33333333,9085,90,130.0,12.6,122.0,Graduate
0,0.0,9085,7,130.0,0.0,115.8,Dropout
5,13.6,9670,5,130.0,13.66666667,121.6,Graduate
5,11.8,9147,7,122.0,11.6,116.4,Graduate
5,12.83333333,9130,10,114.0,12.57142857,120.0,Dropout
5,11.4,9853,5,143.0,11.8,127.3,Dropout
3,12.66666667,9147,7,127.0,11.6,123.5,Enrolled
6,11.83333333,9238,7,141.0,11.33333333,125.6,Graduate
6,11.5,9254,6,129.0,10.66666667,118.5,Graduate
5,13.4,9130,9,140.0,13.5,129.5,Enrolled
0,0.0,171,5,137.0,0.0,134.6,Graduate
4,11.5,9085,6,140.0,13.33333333,140.0,Graduate
2,13.5,9254,1,143.0,13.4,133.2,Enrolled
4,12.25,9238,9,138.0,10.2,133.5,Enrolled
6,12.83333333,9773,7,120.0,13.0,117.9,Graduate
7,12.90857143,9500,7,144.0,12.90857143,128.0,Graduate
1,10.0,9853,9,123.0,12.0,113.2,Dropout
5,11.0,9254,7,129.0,10.83333333,122.0,Enrolled
6,15.83333333,9070,8,152.0,15.33333333,156.9,Graduate
6,12.875,9500,9,130.0,12.81666667,125.1,Enrolled
2,14.0,9147,4,133.1,13.0,100.0,Dropout
2,11.0,9119,152,160.0,13.5,160.0,Enrolled
6,12.16666667,8014,9,140.0,12.5,101.0,Graduate
6,14.33333333,9670,9,133.0,13.0,121.5,Graduate
5,12.57142857,9085,6,138.0,11.75,126.8,Graduate
4,14.25,9670,3,142.0,12.5,132.9,Graduate
17,12.05555556,171,9,115.0,11.61111111,134.3,Graduate
6,14.66666667,9254,3,125.0,14.0,120.5,Graduate
0,0.0,9003,5,170.0,0.0,144.1,Dropout
5,13.83333333,9991,6,140.0,13.8,100.0,Graduate
0,0.0,9254,3,110.0,0.0,114.8,Dropout
0,0.0,171,5,114.0,0.0,111.9,Dropout
3,12.33333333,9119,3,138.0,12.25,125.4,Dropout
3,13.66666667,9003,4,140.0,11.5,140.0,Dropout
9,12.55555556,9070,4,140.0,12.57142857,140.0,Graduate
5,12.16666667,9130,1,132.0,12.0,127.8,Dropout
12,12.30769231,9003,9,148.0,12.0,131.6,Graduate
0,0.0,171,1,132.0,0.0,119.4,Dropout
6,11.16666667,9238,7,126.0,12.0,129.9,Graduate
4,12.25,9119,3,121.0,11.6,114.0,Enrolled
0,0.0,9147,9,120.0,0.0,113.4,Dropout
4,13.0,9147,5,123.0,12.0,117.8,Enrolled
6,12.04166667,9500,7,122.0,13.97666667,114.3,Enrolled
1,10.0,9670,163,136.0,12.5,129.7,Enrolled
0,0.0,9147,7,119.0,0.0,112.0,Dropout
4,12.5,9670,7,120.0,10.5,140.0,Dropout
6,12.3,9003,8,150.0,12.85714286,150.0,Graduate
4,12.0,9670,8,121.0,11.66666667,122.4,Enrolled
1,10.0,9119,4,140.0,13.0,150.0,Dropout
5,10.4,9254,3,135.0,11.83333333,135.0,Enrolled
8,12.75,8014,0,116.0,12.45454545,116.2,Graduate
0,0.0,9119,9,120.0,11.0,120.4,Dropout
4,14.25,9119,4,126.0,13.2,122.9,Enrolled
6,14.16666667,9773,7,170.0,15.5,155.0,Graduate
6,13.66666667,9254,3,123.0,12.33333333,123.4,Graduate
4,11.4,9147,7,120.0,12.0,124.2,Enrolled
5,11.5,9003,1,130.0,11.6,130.0,Enrolled
6,12.28571429,9773,9,130.0,11.33333333,126.2,Graduate
0,0.0,9773,4,117.0,0.0,120.5,Dropout
2,12.5,9119,10,131.0,12.0,123.7,Enrolled
5,12.6,9130,7,130.0,12.0,122.5,Graduate
2,11.5,9991,5,133.0,12.5,139.2,Dropout
11,13.0,171,3,128.0,13.66666667,131.2,Graduate
0,0.0,9003,4,133.1,14.5,120.0,Dropout
0,0.0,9085,9,123.0,13.2,116.7,Dropout
5,14.8,9085,4,150.0,12.16666667,150.0,Dropout
6,11.33333333,9773,1,133.1,11.25,117.5,Graduate
6,14.42857143,9670,6,140.0,15.16666667,137.6,Graduate
4,13.4,9254,9,126.0,11.16666667,124.3,Graduate
6,10.98333333,9500,7,133.1,10.98333333,116.0,Graduate
5,11.5,9238,3,121.0,10.75,121.4,Graduate
7,14.28571429,9085,2,140.0,13.38461538,142.8,Graduate
5,12.2,9670,9,133.1,11.28571429,96.0,Enrolled
0,0.0,8014,5,131.0,0.0,125.0,Dropout
5,14.83333333,9119,0,124.0,13.0,126.1,Graduate
6,13.5,9003,9,120.0,16.11111111,155.8,Graduate
6,11.0,9773,9,133.1,11.5,116.0,Graduate
2,10.5,9130,2,110.0,10.75,110.0,Dropout
5,13.0,9670,8,133.1,11.6,97.2,Graduate
0,0.0,9500,2,133.1,0.0,100.0,Dropout
5,14.14285714,9119,5,140.0,13.8,140.0,Graduate
8,14.6875,9556,5,130.0,13.58571429,128.0,Graduate
5,13.0,9670,10,110.0,13.85714286,115.3,Graduate
6,12.33333333,9003,8,140.0,12.0,150.0,Enrolled
5,12.6,9003,4,160.0,13.44444444,160.0,Graduate
6,13.85714286,9070,3,138.0,14.0,133.1,Graduate
0,0.0,9670,90,126.0,12.0,119.0,Dropout
5,13.83333333,9991,3,120.0,14.2,156.0,Graduate
5,10.84,9500,183,130.0,13.34,163.7,Enrolled
7,12.45714286,9500,7,130.0,12.45714286,130.0,Enrolled
3,12.0,9773,7,122.0,11.0,123.1,Dropout
4,10.5,9991,9,160.0,10.5,160.0,Enrolled
0,0.0,171,7,134.0,0.0,136.1,Graduate
12,13.0,9070,7,134.0,14.0,132.7,Graduate
0,0.0,9500,6,140.0,0.0,128.2,Dropout
0,0.0,9254,8,127.0,0.0,126.7,Dropout
4,12.5,9991,10,133.1,10.0,150.0,Enrolled
0,0.0,171,9,143.0,0.0,156.3,Graduate
6,14.33333333,9254,9,115.0,13.5,116.1,Graduate
0,0.0,9500,9,131.0,0.0,123.8,Dropout
17,14.88888889,171,7,146.0,13.38888889,153.0,Graduate
0,0.0,9500,1,140.0,0.0,140.0,Dropout
11,13.58333333,171,1,135.0,13.58333333,131.9,Graduate
0,0.0,171,8,133.0,0.0,141.4,Enrolled
0,0.0,9147,4,133.1,0.0,140.0,Dropout
0,0.0,9991,9,120.0,10.0,115.0,Dropout
5,15.2,9991,9,133.1,15.2,168.0,Graduate
0,0.0,9085,4,130.0,12.8,101.3,Dropout
4,11.0,9670,4,125.0,11.16666667,122.6,Dropout
0,0.0,171,2,134.0,0.0,141.7,Enrolled
7,12.82857143,9500,3,151.0,12.82857143,132.3,Graduate
4,12.6,9773,1,112.0,12.5,111.7,Dropout
3,12.4,9119,9,120.0,10.0,98.7,Graduate
4,13.25,9254,7,140.0,11.5,140.0,Graduate
7,11.32857143,9500,9,140.0,11.32857143,140.0,Dropout
3,13.0,9003,4,133.1,13.0,100.7,Enrolled
6,13.03333333,9500,5,143.0,13.03333333,133.8,Graduate
4,11.75,9773,6,133.1,12.16666667,100.0,Graduate
3,16.2,9119,7,180.0,14.5,180.0,Enrolled
5,13.6,9085,9,136.0,14.4,130.8,Graduate
6,12.5,9991,9,140.0,12.25,140.0,Enrolled
0,0.0,9500,8,130.0,0.0,106.2,Dropout
6,12.0,9238,10,141.0,12.66666667,125.6,Graduate
3,11.66666667,9853,7,121.0,12.0,117.5,Dropout
0,0.0,9119,7,120.0,0.0,122.5,Dropout
4,10.8,9147,5,129.0,11.66666667,132.9,Dropout
0,0.0,9853,8,133.1,0.0,103.0,Dropout
0,0.0,8014,90,100.0,10.0,107.0,Dropout
0,0.0,9130,9,133.1,0.0,100.0,Dropout
3,12.0,8014,0,133.1,12.25,100.0,Dropout
6,12.5,9070,9,139.0,12.0,131.3,Graduate
5,11.8,9773,5,125.0,12.6,122.2,Enrolled
0,0.0,9991,0,133.1,0.0,118.4,Dropout
0,0.0,9254,9,100.0,0.0,100.0,Dropout
0,0.0,9500,9,110.0,0.0,110.0,Dropout
13,12.0,8014,0,133.1,12.6875,100.0,Graduate
6,10.66666667,9147,9,123.0,10.4,106.2,Graduate
12,10.92307692,9147,9,110.0,10.46666667,110.0,Graduate
5,13.0,9085,5,130.0,14.33333333,122.3,Graduate
6,14.33333333,8014,9,133.1,14.66666667,112.5,Graduate
8,14.23125,9500,7,97.0,12.83571429,98.1,Graduate
0,0.0,9119,5,130.0,0.0,140.2,Dropout
0,0.0,9147,6,139.0,0.0,143.6,Enrolled
0,0.0,171,9,150.0,0.0,134.6,Dropout
8,13.24875,9500,10,141.0,13.24875,126.8,Graduate
4,12.75,33,4,133.1,12.85714286,100.0,Enrolled
4,14.25,9130,7,137.0,13.6,130.0,Enrolled
5,12.4,9147,4,116.0,14.0,113.6,Graduate
2,11.0,9130,5,140.0,12.0,140.0,Enrolled
4,14.0,9085,9,106.0,13.16666667,106.0,Enrolled
6,12.16666667,9238,7,135.0,13.625,126.6,Graduate
8,15.61111111,9500,5,144.0,14.85,130.7,Graduate
5,11.4,9147,4,108.0,10.75,105.9,Graduate
